ID,Varsta,Sex,Tip_Localitate,Tip_Cafea_Preferat,Numar_Cani_Pe_Zi,Ora_Consum_Dominanta,Buget_Luna_MDL,Loc_Achizitie
39,65,Feminin,Urban,Americano,5,Dimineata,2060,Cafenea
40,39,Masculin,Rural,Americano,3,Pranz,1599,Cafenea
41,21,Feminin,Rural,Americano,4,Dimineata,1245,Cafenea
42,22,Feminin,Urban,Americano,3,Dimineata,1309,Cafenea
43,54,Feminin,Urban,Cappucino,4,Pranz,617,Supermarket
44,58,Masculin,Rural,Decaf,3,Dimineata,1039,Oficiu
45,66,Feminin,Urban,Americano,2,Pranz,881,Cafenea
46,30,Feminin,Rural,Cappucino,3,Pranz,1429,Acasa_Boabe
47,51,Feminin,Rural,Americano,4,Dimineata,574,Cafenea
48,62,Feminin,Urban,Latte,1,Dimineata,812,Distributie_Automata
49,39,Feminin,Urban,Espresso,4,Dimineata,2117,Oficiu
50,40,Masculin,Rural,Espresso,1,Dimineata,1214,Supermarket
51,68,Feminin,Rural,Cappucino,2,Seara,794,Cafenea
52,20,Feminin,Urban,Americano,4,Dimineata,1690,Oficiu
53,59,Feminin,Urban,Decaf,2,Dimineata,1813,Supermarket
54,51,Feminin,Urban,Americano,2,Pranz,833,Acasa_Boabe
55,49,Masculin,Rural,Americano,2,Dimineata,663,Oficiu
56,62,Feminin,Rural,Decaf,4,Dimineata,1347,Acasa_Boabe
57,68,Masculin,Rural,Americano,1,Dimineata,312,Cafenea
58,66,Masculin,Urban,Decaf,4,Dimineata,1427,Distributie_Automata
59,38,Masculin,Urban,Alte,1,Pranz,1660,Oficiu
60,63,Masculin,Rural,Espresso,5,Dimineata,1788,Distributie_Automata
61,61,Feminin,Urban,Americano,5,Dimineata,670,Cafenea
62,38,Masculin,Urban,Americano,2,Dimineata,1675,Distributie_Automata
63,61,Masculin,Urban,Americano,2,Dimineata,425,Oficiu
64,28,Feminin,Rural,Americano,2,Dimineata,1624,Distributie_Automata
65,56,Feminin,Rural,Cappucino,3,Dimineata,1101,Supermarket
66,21,Feminin,Urban,Espresso,1,Dimineata,1668,Acasa_Boabe
67,68,Feminin,Urban,Americano,1,Seara,853,Cafenea
68,18,Feminin,Urban,Americano,1,Dimineata,995,Distributie_Automata
69,45,Masculin,Rural,Cappucino,2,Dimineata,1045,Acasa_Boabe
70,41,Masculin,Urban,Cappucino,2,Dimineata,1624,Distributie_Automata
71,52,Feminin,Urban,Latte,3,Pranz,397,Oficiu
72,30,Masculin,Urban,Latte,5,Pranz,1358,Supermarket
73,64,Feminin,Rural,Alte,2,Dimineata,1282,Alte
74,51,Masculin,Urban,Americano,3,Seara,1419,Cafenea
75,28,Masculin,Urban,Latte,2,Dimineata,1762,Oficiu
76,53,Feminin,Urban,Espresso,4,Dimineata,297,Distributie_Automata
77,68,Feminin,Rural,Americano,4,Dimineata,1712,Distributie_Automata
78,34,Feminin,Urban,Cappucino,4,Dimineata,251,Cafenea
79,52,Feminin,Rural,Decaf,5,Pranz,925,Distributie_Automata
80,35,Masculin,Urban,Latte,1,Dimineata,468,Distributie_Automata
81,57,Masculin,Urban,Americano,4,Dimineata,2137,Cafenea
82,39,Feminin,Urban,Americano,3,Pranz,958,Acasa_Boabe
83,41,Feminin,Rural,Espresso,2,Dimineata,1902,Cafenea
84,36,Masculin,Urban,Americano,5,Dimineata,798,Supermarket
85,54,Feminin,Rural,Americano,1,Dimineata,488,Cafenea
86,56,Masculin,Rural,Decaf,3,Dimineata,1364,Cafenea
87,38,Masculin,Urban,Americano,2,Dimineata,1662,Acasa_Boabe
88,25,Masculin,Rural,Latte,2,Pranz,1917,Supermarket
89,45,Feminin,Rural,Espresso,3,Dimineata,590,Supermarket
90,22,Feminin,Urban,Latte,3,Dimineata,2279,Cafenea
91,34,Masculin,Urban,Latte,2,Pranz,490,Oficiu
92,54,Feminin,Rural,Cappucino,2,Pranz,1749,Oficiu
93,53,Masculin,Urban,Latte,4,Dimineata,472,Supermarket
94,36,Masculin,Rural,Decaf,1,Dimineata,1626,Supermarket
95,44,Masculin,Rural,Decaf,2,Dimineata,327,Acasa_Boabe
96,51,Masculin,Urban,Americano,4,Dimineata,2044,Supermarket
97,28,Masculin,Rural,Latte,4,Dimineata,959,Oficiu
98,62,Feminin,Urban,Cappucino,2,Dimineata,752,Supermarket
99,64,Feminin,Urban,Americano,3,Seara,1486,Distributie_Automata
100,29,Feminin,Urban,Latte,4,Dimineata,662,Supermarket
